admin_1,admin_2,value,season_date,season_name,year
Masvingo,Gutu,0.4093454047,2020-04-30,Main,2020
Masvingo,Gutu,0.5767316429,2019-04-30,Main,2019
Masvingo,Gutu,0.6574148603,2018-04-30,Main,2018
Masvingo,Masvingo Rural,0.3201577317,2022-04-30,Main,2022
Masvingo,Masvingo Rural,0.7218749419,2021-04-30,Main,2021
Masvingo,Masvingo Rural,0.3439222597,2020-04-30,Main,2020
Masvingo,Masvingo Rural,0.3725872545,2019-04-30,Main,2019
Masvingo,Masvingo Rural,0.6760501144,2018-04-30,Main,2018
Masvingo,Mwenezi,0.2636072572,2022-04-30,Main,2022
Masvingo,Mwenezi,0.435652149,2021-04-30,Main,2021
Masvingo,Mwenezi,0.1663151888,2020-04-30,Main,2020
Masvingo,Mwenezi,0.153930648,2019-04-30,Main,2019
Masvingo,Mwenezi,0.3319648835,2018-04-30,Main,2018
Masvingo,Zaka,0.1816239316,2022-04-30,Main,2022
Masvingo,Zaka,0.4532339349,2021-04-30,Main,2021
Masvingo,Zaka,0.2603972581,2020-04-30,Main,2020
Masvingo,Zaka,0.3703157931,2019-04-30,Main,2019
Masvingo,Zaka,0.6672856795,2018-04-30,Main,2018
