admin_2,cultivar,crps,ss,los,cultivar_type
Marondera Rural,KY0012,227.162987994365,-0.05938768551669238,187.0,Very Long
Mudzi,KY0013,189.22863984010985,-0.21560154072875704,121.0,Long
Murehwa,KY0008,104.47085641854748,0.2514882344628123,122.0,Short
Murehwa,KY0004,109.40015316279994,0.22502843096009484,122.0,Short
Murehwa,ZM0002,108.82051428571425,0.22032384851586517,129.0,Medium
Murehwa,KY0014,114.8671837794963,0.18630094134949482,133.0,Medium
Murehwa,ZM0003,115.18086666666666,0.18407886658795747,115.0,Short
Mutoko,KY0003,82.67510628347878,0.32510117319609155,140.0,Long
Mutoko,KY0010,86.17698115747778,0.2965144395307936,132.0,Long
Mutoko,KY0015,89.71324559026952,0.26764697477331,106.0,Short
Mutoko,KY0013,90.12888693783073,0.2642539841809737,137.0,Long
Mutoko,KY0002,90.57809188861961,0.2605870049908603,125.0,Medium
Seke,990001,199.70820563654038,0.17182616145984442,156.0,Long
Seke,KY0005,203.06192194055888,0.15791857015171085,147.0,Long
Seke,KY0004,209.30702246450568,0.13202064143866132,121.0,Short
Seke,990003,209.65800285445084,0.13056515403959956,101.0,Very short
Seke,KY0009,227.14916043265998,0.05803073280295035,121.5,Short
Uzumba Maramba Pfungwe,KY0013,110.69788811995382,0.0484422224645803,131.5,Long
Chegutu Rural,990002,399.1765631886992,0.1213094521003476,117.0,Medium
Chegutu Rural,KY0011,433.58970858438624,0.04555724525449567,144.0,Long
Chegutu Rural,KY0007,445.0570267734667,0.020314720938909736,112.0,Short
Chegutu Rural,ZM0001,446.3889465676454,0.017382822020906352,120.0,Medium
Hurungwe,KY0006,198.36081165460416,0.3709488002496696,90.0,Very short
Hurungwe,KY0014,213.7682210903255,0.3220880937938937,114.0,Medium
Hurungwe,KY0011,220.71762924179734,0.30004980155878214,133.0,Long
Hurungwe,990003,226.76607305300607,0.2808686901067461,88.0,Very short
Hurungwe,KY0005,230.40203327392678,0.26933816086492557,124.0,Long
Kariba Rural,KY0002,180.75233333333338,0.2827288359788358,109.0,Medium
Kariba Rural,KY0013,186.99046666666678,0.25797433862433816,118.0,Long
Kariba Rural,KY0001,193.59453333333337,0.23176772486772468,119.0,Long
Kariba Rural,KY0003,203.25886666666668,0.19341719576719574,121.0,Long
Kariba Rural,KY0010,215.2778666666667,0.14572275132275114,116.0,Long
Makonde,KY0001,389.29400000000015,0.34425491297024113,135.0,Long
Makonde,KY0010,403.57306666666676,0.320202582818641,129.0,Long
Makonde,KY0002,416.70393333333345,0.2980843346434585,122.0,Medium
Makonde,KY0003,456.7475333333336,0.230633015160022,137.0,Long
Makonde,KY0009,562.1838000000001,0.05303121841661962,110.0,Short
Mhondoro-Ngezi,ZM0003,179.58613333333335,0.3201786750788643,106.0,Short
Mhondoro-Ngezi,990001,212.56013333333337,0.1953559621451103,140.0,Long
Mhondoro-Ngezi,KY0005,216.44818869915312,0.1806377714858558,134.0,Long
Mhondoro-Ngezi,990003,222.21664642510063,0.15880133845387778,95.0,Very short
Mhondoro-Ngezi,ZM0002,235.44786666666664,0.1087147003154576,120.0,Medium
Sanyati,ZM0003,222.95196238877907,0.24165999187490117,96.0,Short
Sanyati,990001,234.68646622281273,0.2017467135278479,128.0,Long
Sanyati,ZM0002,256.23094232651044,0.12846618256288966,110.0,Medium
Sanyati,990003,260.469808841016,0.11404826924824485,86.0,Very short
Sanyati,KY0009,269.04056960641407,0.08489602174689093,101.0,Short
Zvimba,KY0016,721.3240000000002,0.036521816562777976,142.0,Long
Bikita,KY0013,133.18066666666667,0.17705046343975284,127.5,Long
Bikita,KY0002,160.56033333333332,0.007866117404737527,116.0,Medium
Chiredzi Rural,KY0013,123.88253333333331,0.23529300411522647,116.0,Long
Chivi,KY0002,146.56466666666662,-0.6976602316602312,118.0,Medium
Gutu,ZM0001,120.48373333333332,0.2821227408143,128.0,Medium
Gutu,ZM0002,121.33580000000002,0.2770458788480634,128.0,Medium
Gutu,990002,129.21099999999998,0.23012313803376383,123.0,Medium
Gutu,KY0011,129.83339999999998,0.22641469712015905,157.0,Long
Gutu,990001,136.9748,0.18386415094339637,154.5,Long
Masvingo Rural,KY0013,147.27586666666673,0.34446943620178005,139.5,Long
Masvingo Rural,KY0002,149.3496666666667,0.33523887240356065,124.0,Medium
Masvingo Rural,KY0010,170.22766666666664,0.24231008902077167,132.0,Long
Masvingo Rural,KY0003,170.74106666666668,0.24002492581602364,144.0,Long
Masvingo Rural,KY0001,174.6538666666667,0.22260890207715123,136.0,Long
Mwenezi,KY0013,172.04999999999995,-0.07419354838709658,120.0,Long
Zaka,KY0013,169.28166666666664,-0.4265308988764043,131.0,Long
Binga,KY0013,190.5008295516798,-0.015617522362344705,125.0,Long
Bubi,ZM0003,177.1842,0.4241033586132178,105.0,Short
Bubi,ZM0002,192.74893614003315,0.37351375035742207,117.0,Medium
Bubi,990003,205.06444155092586,0.33348502204466135,92.0,Very short
Bubi,KY0005,206.49835451895038,0.32882441651478755,133.0,Long
Bubi,KY0017,207.27061738343147,0.32631435303326717,87.0,Very short
Hwange Rural,KY0013,120.92850088648302,0.2801874947233154,127.0,Long
Hwange Rural,KY0002,129.62693407202215,0.22841110671415388,116.0,Medium
Hwange Rural,KY0003,130.40803847497492,0.22376167574419692,129.0,Long
Hwange Rural,KY0001,138.51686717603428,0.17549483823789114,126.0,Long
Hwange Rural,KY0017,147.07586686479888,0.12454841151905427,82.0,Very short
Lupane,KY0002,157.37153333333336,-0.004499148936170538,118.0,Medium
Nkayi,KY0002,126.18240000000004,0.1317724770642199,123.0,Medium
Nkayi,KY0015,127.43246208524228,0.12317113244099354,105.0,Short
Nkayi,KY0013,134.1186666666667,0.07716513761467869,134.5,Long
Nkayi,KY0003,134.83873333333335,0.0722105504587155,137.0,Long
Nkayi,KY0010,136.32558767180342,0.061979901340802224,130.0,Long
